house-id,area,bathroom,bedroom,buildingSize,data-date,data-isonshow,data-location,data-url,erfSize,garage,type,data-price
1,boland-winelands,3,3,300,31-05-2018 14:44,FALSE,La Sandra,https://www.pamgolding.co.za/property-details/...,1240,2,house,5100000
2,northern-suburbs,1,2,NaN,16-05-2018 12:23,TRUE,Observatory,https://www.pamgolding.co.za/property-details/...,105,NaN,house,2100000
3,boland-winelands,3,5,NaN,29-05-2018 15:38,FALSE,Riebeek Valley,https://www.pamgolding.co.za/property-details/...,238,2,apartment,4100000
4,boland-winelands,2,3,124,04-07-2016 10:26,FALSE,Strand South,https://www.pamgolding.co.za/property-details/...,124,1,apartment,1100000
5,northern-suburbs,4,4,400,21-10-2016 09:30,TRUE,Ceres,https://www.pamgolding.co.za/property-details/...,500,0,apartment,1200000
6,boland-winelands,3,3,300,31-05-2018 14:44,FALSE,La Sandra,https://www.pamgolding.co.za/property-details/...,1240,2,house,5200000
7,northern-suburbs,1,2,600,16-05-2018 12:23,FALSE,Observatory,https://www.pamgolding.co.za/property-details/...,105,NaN,house,3100000
8,boland-winelands,1,2,NaN,29-05-2018 15:38,TRUE,Riebeek Valley,https://www.pamgolding.co.za/property-details/...,238,2,apartment,4200000
9,boland-winelands,2,3,124,04-07-2016 10:26,TRUE,Strand South,https://www.pamgolding.co.za/property-details/...,124,1,apartment,1300000
10,northern-suburbs,2,4,400,21-10-2016 09:30,FALSE,Ceres,https://www.pamgolding.co.za/property-details/...,500,NaN,apartment,1400000
11,boland-winelands,3,3,300,31-05-2018 14:44,TRUE,La Sandra,https://www.pamgolding.co.za/property-details/...,1240,2,house,5300000
12,northern-suburbs,1,2,NaN,16-05-2018 12:23,FALSE,Observatory,https://www.pamgolding.co.za/property-details/...,105,NaN,house,4300000
13,boland-winelands,2,2,NaN,29-05-2018 15:38,FALSE,Riebeek Valley,https://www.pamgolding.co.za/property-details/...,238,2,apartment,2200000
14,boland-winelands,3,3,124,04-07-2016 10:26,FALSE,Strand South,https://www.pamgolding.co.za/property-details/...,124,0,apartment,2300000
15,northern-suburbs,4,4,400,21-10-2016 09:30,FALSE,Ceres,https://www.pamgolding.co.za/property-details/...,500,0,apartment,2400000
16,boland-winelands,3,3,300,31-05-2018 14:44,FALSE,La Sandra,https://www.pamgolding.co.za/property-details/...,1240,2,house,5400000
17,northern-suburbs,1,2,NaN,16-05-2018 12:23,FALSE,Observatory,https://www.pamgolding.co.za/property-details/...,105,NaN,house,5500000
18,boland-winelands,1,2,NaN,29-05-2018 15:38,FALSE,Riebeek Valley,https://www.pamgolding.co.za/property-details/...,238,2,apartment,2500000
19,boland-winelands,3,3,124,04-07-2016 10:26,FALSE,Strand South,https://www.pamgolding.co.za/property-details/...,124,1,apartment,3200000
20,northern-suburbs,2,4,400,21-10-2016 09:30,TRUE,Ceres,https://www.pamgolding.co.za/property-details/...,500,NaN,apartment,3300000
21,boland-winelands,3,3,300,31-05-2018 14:44,FALSE,La Sandra,https://www.pamgolding.co.za/property-details/...,1240,2,house,4400000
22,northern-suburbs,1,2,NaN,16-05-2018 12:23,FALSE,Observatory,https://www.pamgolding.co.za/property-details/...,105,NaN,house,6100000
23,boland-winelands,1,5,NaN,29-05-2018 15:38,FALSE,Riebeek Valley,https://www.pamgolding.co.za/property-details/...,238,2,apartment,2600000
24,boland-winelands,2,3,124,04-07-2016 10:26,FALSE,Strand South,https://www.pamgolding.co.za/property-details/...,124,1,apartment,3400000
25,northern-suburbs,4,4,400,21-10-2016 09:30,TRUE,Ceres,https://www.pamgolding.co.za/property-details/...,500,0,apartment,2700000
26,boland-winelands,3,3,300,31-05-2018 14:44,FALSE,La Sandra,https://www.pamgolding.co.za/property-details/...,1240,2,house,4500000
27,northern-suburbs,1,5,NaN,16-05-2018 12:23,FALSE,Observatory,https://www.pamgolding.co.za/property-details/...,105,NaN,house,7100000
28,boland-winelands,2,2,300,29-05-2018 15:38,FALSE,Riebeek Valley,https://www.pamgolding.co.za/property-details/...,238,2,apartment,2800000
29,boland-winelands,3,3,124,04-07-2016 10:26,TRUE,Strand South,https://www.pamgolding.co.za/property-details/...,124,0,apartment,3500000
30,northern-suburbs,2,4,400,21-10-2016 09:30,TRUE,Ceres,https://www.pamgolding.co.za/property-details/...,500,0,apartment,2900000
31,boland-winelands,3,3,300,31-05-2018 14:44,FALSE,La Sandra,https://www.pamgolding.co.za/property-details/...,1240,2,house,4600000
